"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-01",,"72",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-02",,"76",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-03",,"76",,"70"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-04",,"76",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-05",,"73",,"68"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-06",,"72",,"67"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-07",,"72",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-08",,"71",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-09",,"69",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-10",,"69",,"64"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-11",,"69",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-12",,"68",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-13",,"67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-14",,"66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-15","0.00","71",,"66"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-16",,"74",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-17",,"76",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-18",,"80",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-19",,"80",,"74"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-20",,"80",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-21",,"82",,"75"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-22","0.00","81","90","75"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-23","0.00","77","90","72"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-24","0.00","76","85",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-25","0.24","79",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-26","0.00","74","90",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-27","0.75","72","86","69"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-28","0.02","72",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-29","0.00","72","82",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-30","1.06","72",,"69"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-01-31","0.55","73",,"70"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-02-01","1.30","71","81",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-02-02","0.71","73",,"69"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-02-03","1.10","72","81","69"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2025-02-04","0.08","74",,
